IUS Spring 2025 Course schedule Undergraduate,,,,,,
Code,Course Code and Name,Day1,Day2,Venue 1,Venue 2,Important Notes
AID101.1,AID101.1 Fundamentals of Data Science,Tue. 09:00-11:50,,B F2.17,,
AID304.1,AID304.1 Big Data Analytics,Thu. 14:00-16:50,,B F1.25 Computer Lab,,
ARCH100.1,ARCH100.1 Introduction to Architectural Design,Wed. 09:00-11:50,,A F3.8 - Big Architecture Studio,,
ARCH101.1,ARCH101.1 Basic Design Communication,Mon. 09:00-11:50,,A F3.10 - Architecture Classroom,,
ARCH102.1,ARCH102.1 History of Architecture I,Wed. 12:00-12:50,,A F2.14 - Amphitheater II,A F3.8 ARCH Studio 1,Seond and 3rd hors in studio
ARCH106.1,ARCH106.1 Introduction to Building Technology,Fri. 09:00-11:50,,A F3.7 ARCH Studio 2,,
ARCH107.1,ARCH107.1 Understanding Art and Architecture,Mon. 10:00-11:50,,B F1.23 - Amphitheater I,,
ARCH108.1,ARCH108.1 Introduction to Architectural Design II,Thu. 09:00-11:50,,A F3.8 - Big Architecture Studio,,
ARCH108.2,ARCH108.2 Introduction to Architectural Design II,Thu. 09:00-11:50,,A F3.7 - Small Architecture Studio,,
ARCH109.1,ARCH109.1 Basic Design Communication II,Mon. 13:00-14:50,,A F3.10 - Architecture Classroom,,
ARCH109.2,ARCH109.2 Basic Design Communication II,Mon. 13:00-14:50,,A F2.8 - Drawing Studio,,
ARCH110.1,ARCH110.1 Freehand Drawing,Thu. 13:00-14:50,,A B.16 - VACD Drawing Studio,,
ARCH201.1,ARCH201.1 Architectural Design Studio I,Tue. 09:00-14:50,,A F3.8 - Big Architecture Studio,,
ARCH201.2,ARCH201.2 Architectural Design Studio I,Tue. 09:00-14:50,,A B.8 - Fabrication Lab,,
ARCH202.1,ARCH202.1 Architectural Design Studio II,Tue. 09:00-14:50,,A F3.7 - Small Architecture Studio,,
ARCH202.2,ARCH202.2 Architectural Design Studio II,Tue. 09:00-14:50,,A F3.10 - Architecture Classroom,,
ARCH202.3,ARCH202.3 Architectural Design Studio II,Tue. 09:00-14:50,,A F2.8 - Drawing Studio,,
ARCH208.1,ARCH208.1 Architectural Communication,Thu. 09:00-11:50,,A F1.3 - Computer Lab,,
ARCH208.2,ARCH208.2 Architectural Communication,Thu. 12:00-14:50,,A F1.3 - Computer Lab,,
ARCH209.1,ARCH209.1 History of Architecture III,Mon. 13:00-14:50,,B F1.23 - Amphitheater I,,
ARCH210.1,ARCH210.1 Structural Design II,Mon. 09:00-10:50,,A F3.7 ARCH Studio 2,A F3.8 ARCH Studio 1,Two Studios Are Used
ARCH211.1,ARCH211.1 Building Services II,Thu. 09:00-10:50,,A F2.16 - Architecture Studio,,
ARCH216.1,ARCH216.1 Introduction to CAD,Fri. 10:00-11:50,,A F1.3 - Computer Lab,,
ARCH216-6.1,ARCH216-6.1 Introduction to CAD,Fri. 10:00-11:50,,A F1.3 - Computer Lab,,
ARCH303.1,ARCH303.1 Architectural Design Studio III,Wed. 09:00-14:50,,A F2.16 - Architecture Studio,,
ARCH303.2,ARCH303.2 Architectural Design Studio III,Wed. 09:00-14:50,,A F3.7 - Small Architecture Studio,,
ARCH304.1,ARCH304.1 Architectural Design Studio IV,Wed. 09:00-14:50,,A F3.10 - Architecture Classroom,,
ARCH304.2,ARCH304.2 Architectural Design Studio IV,Wed. 09:00-14:50,,A F2.8 - Drawing Studio,,
ARCH307.1,ARCH307.1 Sustainable Design,Fri. 09:00-10:50,,A F3.8 - Big Architecture Studio,,
ARCH308.1,ARCH308.1 Urban History,Thu. 13:00-14:50,,A F3.7 - Small Architecture Studio,,
ARCH311.1,ARCH311.1 Materials in Architecture,Mon. 13:00-14:50,,A F3.7 ARCH Studio 2,A F3.8 ARCH Studio 1,Two Studios Are Used
ARCH357.1,ARCH357.1 Bosnian Architecture,Thu. 13:00-14:50,,A F3.10 - Architecture Classroom,,
ARCH358.1,ARCH358.1 Building Construction II,Mon. 13:00-14:50,,A F3.7 ARCH Studio 2,A F3.8 ARCH Studio 1,Two Studios Are Used
ARCH360.1,ARCH360.1 Digital Architecture and Fabrication,Fri. 14:00-15:50,,A F1.3 - Computer Lab,,
ARCH403.1,ARCH403.1 Management in Architecture,Mon. 11:00-12:50,,A F2.16 - Architecture Studio,,
